Subspecies Name,Scientific Name,Region,Physical Characteristics,Coat Variations,Image Path
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\01FCC4Q0XRPS.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\03FW3HFGHGZ9_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\03HCE33MD1N7.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\06XZYJ9WUZ54.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\073O7VM3WHYE.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\073O7VM3WHYE_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0783KIV13HMW.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\08C7YZQ5A4BS.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\08C7YZQ5A4BS_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\08XDR0WIHVTH.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0BTD40XQTTM6.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0EKXJNOJ4JAM.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0EKXJNOJ4JAM_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0FWX3IKQIGAG.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0FWX3IKQIGAG_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0HXMLVH9RE86_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0K52YMSAU6HN.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0K52YMSAU6HN_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0LY2MA5BJA5N_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0MS7S1YPG0LS.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0N4FG7IBYTO9.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0N4FG7IBYTO9_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0O0MYJT5B5XT_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0P06WNNM95ZY.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0P06WNNM95ZY_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0PCO2TI15LII.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0PCO2TI15LII_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0RAIR0PWFO24.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0RAIR0PWFO24_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0SFLIN5SNKLP.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0SFLIN5SNKLP_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0UY5JCBRUC70.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\0Y82ENRLRCV6_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\10.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\100.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\101.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\102.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\103.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\104.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\105.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\106.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\107.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\108.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\109.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\11.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\110.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\111.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\112.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\113.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\114.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\115.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\116.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\117.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\118.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\119.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\12.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\120.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\121.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\122.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\123.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\124.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\125.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\126.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\127.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\128.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\129.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\13.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\130.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\131.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\132.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\133.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\134.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\135.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\136.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\137.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\138.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\139.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\14.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\140.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\141.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\142.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\143.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\144.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\145.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\146.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\147.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\148.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\149.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\15.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\150.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\151.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\152.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\153.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\154.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\155.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\156.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\157.jpeg
